,abv,ibu,name,style,ounces
1787,0.095,25.0,Winter Warmer (Vault Series),Winter Warmer,16.0
1788,0.091,99.0,Count Hopula (Vault Series),American Double / Imperial IPA,16.0
1790,0.05,15.0,SunSpot Golden Ale,American Blonde Ale,12.0
1791,0.06,35.0,I.W.A. (2011),American Pale Wheat Ale,12.0
1792,0.065,35.0,Supermonk I.P.A.,Belgian IPA,12.0
1793,0.055,20.0,Epicenter Amber Ale,American Amber / Red Ale,12.0
1794,0.05,15.0,SanTan HefeWeizen,Hefeweizen,12.0
1795,0.07,85.0,Hop Shock IPA,American IPA,12.0
1796,0.069,20.0,Sex Panther (2014),American Porter,12.0
1797,0.055,45.0,Devil’s Ale,American Pale Ale (APA),12.0
1798,0.081,35.0,Rail Slide Imperial Spiced Ale,Herbed / Spiced Beer,12.0
1799,0.05,20.0,Mr. Pineapple,Fruit / Vegetable Beer,12.0
1800,0.055,45.0,American Idiot Ale (2012),American Pale Ale (APA),12.0
1801,0.07,85.0,Hop Shock IPA (2010),American IPA,12.0
1802,0.05,15.0,SanTan HefeWeizen (2010),Hefeweizen,12.0
1803,0.055,45.0,Devil’s Ale (2010),American Pale Ale (APA),12.0
1804,0.055,20.0,Epicenter Amber Ale (2010),American Amber / Red Ale,12.0
1805,0.058,20.0,Sanitas Saison Ale,Saison / Farmhouse Ale,12.0
1806,0.068,65.0,Sanitas Black IPA,American Black Ale,12.0
1807,0.089,88.0,Giant DIPA,American Double / Imperial IPA,16.0
1808,0.054,35.0,Dread Brown Ale,American Brown Ale,12.0
1809,0.07,35.0,Casinos IPA,English India Pale Ale (IPA),16.0
1810,0.055,30.0,Saison 88,Saison / Farmhouse Ale,12.0
1811,0.071,95.0,Black IPA,American Black Ale,12.0
1812,0.045,35.0,Santa Fe Irish Red Ale,Irish Red Ale,12.0
1813,0.056,35.0,Santa Fe Oktoberfest,Märzen / Oktoberfest,12.0
1814,0.08,35.0,Imperial Java Stout,Russian Imperial Stout,12.0
1815,0.055,35.0,Freestyle Pilsner,German Pilsener,12.0
1816,0.066,35.0,Happy Camper IPA,American IPA,12.0
1817,0.05,11.0,Oval Beach Blonde Ale,American Blonde Ale,16.0
1818,0.065,35.0,Oak Aged Cider,Cider,12.0
1819,0.065,35.0,Ginger Cider,Cider,12.0
1820,0.065,35.0,Schilling Hard Cider,Cider,12.0
1821,0.05,45.0,Schlafly Yakima Wheat Ale,American Pale Wheat Ale,12.0
1822,0.05,35.0,Schlafly Black Lager,Schwarzbier,12.0
1823,0.045,30.0,Schlafly IPA,American IPA,12.0
1824,0.05,30.0,Schlafly American Brown Ale,American Brown Ale,12.0
1825,0.041,16.0,Schlafly Hefeweizen,Hefeweizen,12.0
1826,0.045,17.0,Schlafly Summer Lager,Munich Helles Lager,12.0
1827,0.047,35.0,Sea Dog Wild Blueberry Wheat Ale,Fruit / Vegetable Beer,12.0
1828,0.074,60.0,Blur India Pale Ale,American IPA,12.0
1829,0.065,35.0,Dry Cider,Cider,16.0
1830,0.065,35.0,Dry Hard Cider,Cider,16.0
1831,0.07,105.0,Frankenlou's IPA,American IPA,16.0
1832,0.07,55.0,Becky's Black Cat Porter,American Porter,16.0
1833,0.077,40.0,Seventh Son of a Seventh Son,American Strong Ale,16.0
1834,0.053,20.0,Stone Fort Brown Ale,English Brown Ale,16.0
1835,0.077,40.0,Seventh Son Hopped Red Ale,American Amber / Red Ale,16.0
1836,0.06,53.0,Humulus Nimbus Super Pale Ale,American Pale Ale (APA),16.0
1837,0.07,68.0,Golden Ratio IPA,American IPA,16.0
1838,0.068,35.0,Black Hop IPA,American Black Ale,12.0
1839,0.05,35.0,Archer's Ale (2004),English Pale Ale,12.0
1840,0.069,65.0,Monkey Fist IPA,American IPA,12.0
1841,0.051,35.0,Shipyard Summer Ale,American Pale Wheat Ale,12.0
1842,0.047,35.0,Pumpkinhead Ale,Pumpkin Ale,12.0
1843,0.051,35.0,Shipyard Export,American Blonde Ale,12.0
1844,0.052,35.0,Nooner,German Pilsener,12.0
1845,0.072,65.0,Torpedo,American IPA,12.0
1846,0.06,35.0,Yonder Bock,Maibock / Helles Bock,12.0
1847,0.06,35.0,CANfusion Rye Bock,Rye Beer,12.0
1848,0.056,37.0,Sierra Nevada Pale Ale,American Pale Ale (APA),16.0
1849,0.048,26.0,Old Chico Crystal Wheat,American Pale Wheat Ale,12.0
1850,0.05,28.0,Summerfest,Czech Pilsener,12.0
1851,0.072,65.0,Torpedo,American IPA,16.0
1852,0.056,37.0,Sierra Nevada Pale Ale,American Pale Ale (APA),12.0
1853,0.069,35.0,Sietsema Red Label,Cider,16.0
1854,0.042,35.0,Bear Ass Brown,American Brown Ale,12.0
1855,0.06,35.0,Red Mountain Ale,American Amber / Red Ale,12.0
1856,0.068,35.0,Ice Pick Ale,American IPA,12.0
1857,0.1,52.0,4Beans,Baltic Porter,12.0
1858,0.042,16.0,Jammer,Gose,12.0
1859,0.08,35.0,Abigale,Belgian Pale Ale,12.0
1860,0.032,19.544779559320187,Rad,Fruit / Vegetable Beer,16.0
1861,0.065,62.0,Bengali,American IPA,1.9632799921165596
1862,0.047,50.0,Sensi Harvest,American Pale Ale (APA),12.0
1863,0.099,111.0,Hi-Res,American Double / Imperial IPA,12.0
1864,0.07,70.0,Global Warmer,American Strong Ale,12.0
1865,0.067,74.0,Autumnation (2013),American IPA,16.0
1866,0.054,42.0,The Crisp,German Pilsener,16.0
1867,0.052,34.0,Sweet Action,Cream Ale,16.0
1868,0.063,57.0,Righteous Ale,Rye Beer,16.0
1869,0.064,62.0,Bengali Tiger,American IPA,16.0
1870,0.099,85.0,3Beans,Baltic Porter,12.0
1871,0.059,47.0,Brownstone,American Brown Ale,16.0
1872,0.052,11.0,Apollo,American Pale Wheat Ale,16.0
1873,0.049,35.0,Harbinger,Saison / Farmhouse Ale,16.0
1874,0.091,103.0,Resin,American Double / Imperial IPA,12.0
1875,0.063,69.0,Diesel,American Stout,16.0
1876,0.06,48.0,Autumnation (2011-12) (2011),Pumpkin Ale,16.0
1877,0.054,42.0,The Crisp (2011),German Pilsener,16.0
1878,0.052,34.0,Sweet Action (2011),Cream Ale,16.0
1879,0.063,57.0,Righteous Ale (2011),Rye Beer,16.0
1880,0.064,62.0,Bengali Tiger (2011),American IPA,16.0
1881,0.045,35.0,Rudie Session IPA,American IPA,12.0
1882,0.074,35.0,Taster's Choice,Doppelbock,12.0
